X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.006578824424722,38.920050968266516,76,2219 LINCOLN RD NE,TERESINA VASCO MONUMENT,305047
-77.006578824424722,38.920050968266516,77,2219 LINCOLN RD NE,VICTOR S. BLUNDON MONUMENT,305047
-77.044233183074709,38.886223231223475,78,1964 INDEPENDENCE AVE SW,"MARTIN LUTHER KING, JR. MEMORIAL",310141
-77.044080714436021,38.883979619041988,79,1850 WEST BASIN DR SW,FRANKLIN DELANO ROOSEVELT MEMORIAL,310141
-77.050183893189939,38.889290912006977,80,701 E BASIN DR SW,LINCOLN MEMORIAL,308233
-77.034763017563151,38.889117078183574,81,2 15TH ST NW,JEFFERSON PIER STONE,294406
-77.037292918044884,38.907254734069241,82,MASSACHUSETTS AVE & 16TH ST NW,TRAVIS RAUH MEMORIAL,294297
-77.006587573226767,38.896413609671896,83,50 MASSACHUSETTS AVE NE,COLUMBUS FOUNTAIN,293243
-77.070944151755327,38.907324035477814,84,ALUMNI SQUARE,VACLÁV HAVEL'S PLACE,291453
-77.011789081412758,38.946825141315585,85,201 ALLISON ST NW,FREDERICK KEEP MONUMENT,284159
-77.013487985547684,38.94585242071215,86,201 ALLISON ST NW,GOFF MEMORIAL,284159
-77.011139616624334,38.946345883330537,87,201 ALLISON ST NW,HEURICH MAUSOLEUM,284159
-77.013487985547684,38.94585242071215,88,201 ALLISON ST NW,HOUSER MEMORIAL,284159
-77.013487985547684,38.94585242071215,89,201 ALLISON ST NW,HUBBARD BELL GORSSMAN PILOT MEMORIAL,284159
-77.013487985547684,38.94585242071215,90,201 ALLISON ST NW,JOHNSON MEMORIAL,284159
-77.013487985547684,38.94585242071215,91,201 ALLISON ST NW,KAUFFMAN MEMORIAL,284159
-77.013487985547684,38.94585242071215,92,201 ALLISON ST NW,PETER FORCE,284159
-77.011139923889274,38.948311796480041,93,201 ALLISON ST NW,RABBONI-FFOULKE MEMORIAL (SCULPTURE),284159
-77.013487985547684,38.94585242071215,94,201 ALLISON ST NW,SPENCER MEMORIAL,284159
-77.013487985547684,38.94585242071215,95,201 ALLISON ST NW,WAITE MEMORIAL,284159
-77.013487985547684,38.94585242071215,96,201 ALLISON ST NW,SIMON MEMORIAL,284159
-77.01034805059173,38.947381013068963,97,201 ALLISON ST NW,ADAMS MEMORIAL (SAINT-GAUDENS),284159
